feasibility,description
1,Use alternative affordable materials (such as aluminum) instead of steel if the loading permits such use.
1,"Introduce a soak cycle, which allows clothes to soak in detergent for ~10 min before wash cycle begins, thereby reducing electricity consumption associated with actively ""tossing"" clothes."
1,"The machine learns your habits, and cycles. It can use the most economic cycle depending on load size."
1,Paint the machine fun colors.
1,Test out different methods of actuation for the washing machine. Perhaps linear motion or some other combination of motions.
1,"The interactive UI can be used to provide advices to the user on how to treat and wash different clothes, e.g. what kind of detergents to use, and whether they can iron them or not."
1,Go from traditional washing machine designs (spinning tumbler) to maybe a different shape such as a rotating sphere where clothes would be placed inside.
1,Have larger load capacity so people can wash more at once.
1,Have a smart washer/dryer combo that users can control with an app so that all settings can be done remotely.
1,Design a power machine with artificial intelligence that will wash clothes linens at times when power consumption is cheaper.
1,Reduce amount of material used to lower cost and reduce energy needed to run.
1,A washer is capable of harvesting and converting some of the rotational energy from the drum into pneumatic energy for pressurized rinse cycles.
1,Harvest vibrations from washing machine somehow to generate electricity.
1,"If the motor mounting point was moved from one extreme end of the washing barrel towards a more central location, then fewer counterweights would be needed at the opposite end. The added weights make spinning more difficult and therefore reduce the efficiency."
1,Simplify construction so that machines can be assembled by users and reduce cost to consumer.
1,Use closed loop water recycling system.
1,Coat the inside of the laundry machine with the dirt absorbent beads; have a marker that changes color like toothbrush bristles when they have been overused and the sheet of them needs to be replaced
1,"Use less water and detergent by customizing the amount based on a combination of factors such as clothes type, environment temperature (for drying) etc."
1,"Educate users to have more efficient wash, for example wash less dirty clothe first."
1,"You could have the washer and drier in the same box, so that it could intelligently turn off, and start the drier when it saves the most electricity, or when you aren't sleeping, or just right after if you want it done immediately"
1,"Make the washing machine smaller, thus encouraging users to do smaller loads of laundry."
1,During the final assembly stages of the washer many of the parts are screwed and bolted together by hand. This process should be done by a fast and efficient robot instead.
1,Use the water from the washing machine to fill and flush toilets.
1,Incorporate water filter for water re-use in subsequent wash cycles. There could be a (hand-washable) filter and a storage tank in the washing machine that collects filtered water from prior wash cycles.
0,Accomplish washing and drying simultaneously.
1,The machine has ability to save settings from wash to wash.
1,"The washer motor can also be made to drive a companion dryer through some sort of transmission system so that one motor can spin either one or both of the units, thus eliminating the need for a motor in each unit."
1,The control panel can be powered by batteries charged by solar panel or by a dynamo connected to the machine rotor.
0,Have a super fast washing machine.
0,Look into reducing the cost of the machine by getting them manufactured in a more efficient way.
1,Use low temperature washes or strategically heated water.
1,Reduce the friction present from spinning the drum so that power consumed by the washer is reduced.
1,Have a washing machine that corrects you when being inefficiently used.
1,Customize cycles for certain types of washes.
1,Have the machine run for less time.
1,Develop a combo of washer and dryer system where shaft motion of dryer is used to charge a battery or power dryer cycle.
1,Make machine smaller to prevent wasteful small loads in larger machines.
1,Make the height adjustable for ease of access.
1,Use alternative of water like absorbable beads.
1,Examine steps in the manufacturing process that can be eliminated or combined to reduce production footprint.
1,Install LEDs for the machine to look cool.
1,"Have the washing machine weigh how much clothing it is given, and allocate water appropriately. This will also increase product's appeal because it is techy, and people like that. It will save them money when they have small wash loads."
1,Use a new motor design.
1,Improve the functional attributes of the washing machine and make those more apparent to the users when purchasing the product.
1,Use the cleaned water from dishwasher for the washing machine.
1,"For a washer/dryer unit, if the dryer is running simultaneously, use waste heat from the dryer to warm up water for the washer."
1,The washer is able to send notifications to phone when it is done to reduce chance of mildewy clothes.
1,"If the machine has a drying cycle, the last washing cycle could be just long enough to allow proper drying."
1,Make an interactive app that sends users information about water and energy consumption and that also suggests how much money has been saved and how much still can be saved if the machine is used differently. Actually numbers could stimulate people to use the machine more efficiently.
1,Have the remote control system instead of touch panel as an app on smart phone to specify the cloth and color and by having the weight measuring system. The machine can automatically decide the amount of detergent and water amount and temperature.
0,Design a motor that uses gravity to power the drum instead of electricity.
1,Have a monthly maximum power/water output from the washing machine that users cannot exceed.
1,Borrow concepts from dry cleaning to design a cycle option that reduces water usage through the addition of specific chemicals.
1,Provide manual operation as an option to save electricity and give some incentive.
0,Have ultrasonic washing machine to reduce the need for water and to decrease washing time.
1,Control the heat for water.
1,Use nano-material in door seals to have a perfectly water-proof machine.
0,"Design disposable or decomposable clothing, which would eliminate the need for a washer."
1,load sensing strain gauges could be used to use minimum water in combination with the polymer beads.
1,"The machine can store the entire detergent container and it will use the required quantity of it according to the mode of use. This will reduce the effort needed on the customers' part. Multiple detergents can be loaded, mixed and used."
1,A washer which automatically senses the colors of clothing put into it enables it to pick the most appropriate wash cycle.
1,Combine washing and drying machines to reduce machined parts.
1,"Use rust-resistance materials for the front door of washer. Use some kind of material which use less water to clean cloths, and use higher speeds for washer."
1,"Have a washer that is capable of recycling water to be used during multiple washing cycles, or that is connected to other devices in the house that also use water."
1,"Eliminate conveyor belts from manufacturing process, have employees do more of the movement themselves (less time efficient, but more energy efficient and probably more engaging for employees)."
1,Design inside tube of washing machine so that it can create a more efficient washing cycle without having to use much force (energy) or water.
0,Use synthetic material to agitate clothes and minimize the water required.
1,"Use a combination of multiple dampers to reduce vibration from multiple stage, i.e., frequency of tumble stage, spin stage, etc."
1,Use wind turbine to power up washing machine.
1,"Use mist or steam (like some new shower heads that use 20% as much water, but still feel like a regular shower) to reduce the amount of water needed to clean the wash load."
1,"Have the washing machine make recommendations to users on how they can reduce the energy or water they use, for example, which types of clothes they can combine in a load."
0,"Collect energy from home as part of the power source for the machine, such as floor vibrating when walking around, and running tap water, etc."
1,Simplify the number of parts or materials for lower manufacturing cost.
1,"Increase user awareness of washing machine in use: make it loud or bright while in use, making users more aware of how often they use it, and perhaps decreasing water usage."
1,Have two concentric washing areas so the inner one can rotate at lower speed meant for delicates.
1,Create an advertisement showing the effects of the current drought in certain States and emphasizing how much water traditional washing machines really use.
1,Use sensors that detect leaks and increased vibration than normal could potentially prevent water loss and component destruction during a product malfunction.
1,Use multiple motors to counteract each other in weight.
1,Create an exchange/warranty program where consumers can trade in their old model and get a newer one. High value parts such as the washing machine drum from the traded in model will be used in future revisions.
0,Everyone goes to a laundromat that uses really efficient and expensive washers.
1,"Use software to allow users to control drying time , air temperature and spinning speed while they are guided towards the most efficient cycle."
1,Design washers that integrate drying of an alternate load to maximize use of energy.
0,Subject the clothes to a vacuum and send water through the fibers to prevent water waste and eliminate the need for any spinning or gyrations.
1,Have a delicate option for underthings that would just allow soaking and then gentle agitation to work out the dirt. It would minimize water waste compared to hand washing in the sink.
0,Develop a lighter motor so less material are necessary to counteract weight.
1,Have a green colored washing machine.
0,Add more sensors to have machines utilize less water and soap.
1,Use an internal scale to weigh laundry with a limiter to show users when a load is too large and will require too much energy.
1,Connect washing machine to a device to track cycle progress.
0,Have a washing machine that stores the water outdoors in the sunlight so that it is naturally hot instead of having to use energy to heat the water.
1,"Modularize washing machines so that expensive component can be reused. e.g., the motor."
1,Have real time energy consumption feedback to the user as a subjective norm in order to motivate them to conserve energy.
1,The smart washer connected to a centralized app that can detect when is the optimal time of the day for greatest energy savings.
1,It seem users would prefer a more elegant visualization of the product. So change the side panel material and colors to make it more customized to the users.
1,The front door and the rear panel can be assembled at the same time as everything is moving on the conveyor belt. This may also help to save time.
1,Use different material to build machines.
0,Use a dirt detector.
1,Improve nozzle or spray design so clothes are thoroughly soaked.
1,Use turbulence that is generated in water jets to significantly increase efficiency.
1,"Increase the drum rotation speed slightly more so that higher centrifugal forces may get rid of more water from clothes and reduce drying time and cost. It may also eliminate the need for drain pump, thus save cost further."
0,Group the cloths based on how dirty they are.
1,Keep track of the amount of water and energy used so that consumers are aware and can adjust accordingly.
1,The machine is compatible with sustainable energy sources to be used in remote areas.
1,Use adjustable size container for more efficient washing with different size loads.
1,Reuse the water from rinsing the clothes in toilets to reduce overall water consumption.
0,Redesign clothes so that they do not need to be washed
1,System should give more space to the clothes and user while keeping the dimension of the system small.
1,Save detergent by having to fill once a month and letting the machine decide how much is required.
1,"Use beads to clean up water after it has been used, even though this method does not produce as good of cleaning."
1,Reduce vibration to be more energy efficient. Also work on dynamics and control water flow in.
1,"Integrate the machine with the design of house, to make it less look like a machine."
1,Iron the clothes after washing and drying for convenience.
1,Removable drum is also a laundry basket sleeve.
1,Develop a filtering system to clean up waste water and reuse it.
1,Make the color of the washing machine earth toned.
1,"Have two concentric washing areas separated by a fabric mesh, keeping the delicates from too much disturbance. This allows you to be able to wash delicates and other clothes at the same time."
1,Recycle water from your sink and shower. Use it to clean clothes after processing the water. No user input required.
1,Use two drums rotating in opposite directions to counterbalance each other and eliminate the need for concrete counterweights.
1,The outer structure of the washing machine is composed of multiple panels that are assembled during production. These panels can perhaps be made from a single piece of injection molded recycled plastic.
1,Allow for an air dry mode to reduce energy spent in spin cycle.
1,Use alternative material to counter the weight of the motor
1,Have a transparent machine to let people see the washing process for fun.
1,Use a curved outer shape so that the outer body can be made as one piece to get rid of some assembly steps.
1,Minimize the size of washer.
1,Recycle treated water instead of using fresh water.
0,Use water being pumped out to run a small dynamo such as to power the display electronics.
1,"Have alternative settings on the machine, so that if the user is washing something that doesn't need as much water (or as much hot water), the user can communicate that to the machine, and it will wash accordingly."
1,Include a basket for more delicate clothing and allow washer to be used more efficiently and appealing to consumers.
1,The machine has rounded corners on exterior structure for a friendly appearance.
0,Use alternative bearings such as magnetic ones to increase spin-speed and reduce wash time.
1,Shared washer and dryer with other people that don't have full loads.
0,Have a washing machine which uses steam and soap spray to clean clothes. Will not require a high power motor.
1,Use less pressure and more momentum. Just toss it around.
1,"By comparing the weight of the clothes before and after washing, the level of dryness can be measured. This can be used to adjust the time required to dry the clothes."
0,Have a washing machine that uses and stores rainwater outdoors in the sunlight so that it is naturally heated up.
0,Have dynamic washing based on dirtiness sensor readings. Things that are cleaner don't need as much washing and can save water.
1,Build in a hand washing mechanism.
1,"Increase spinning speed of the washer, which will allow the cycle to be completed faster and the clothes be drier. Thus it requires less time in a drying machine."
1,Cleanse smoke with odor diffuser.
1,Use active damping to reduce noise and vibration to appeal to consumers with small apartments.
0,The machine can employ a smarter way of spinning so that energy is not wasted so much in vibration.
1,Use door hole as a display panel so that the information on the wash is projected onto the clear glass door.
1,Load clothes from the top and have sensors on the sides so machine is more efficient in cleaning and person doesn't have to bend down to load clothes.
1,The outer body is made of plastic instead of aluminum.
1,Takes less detergent and uses less water.
1,"Strongly brand the environmental aspect of the machine vs what other washers do (energy comparisons, water comparisons, equivalent emissions, etc.)"
1,A machine using both rotating and pounding action for cleaning.
1,Store water from different stages in the washing cycle and use it again if there are multiple uses in the day.
1,Change the geometry of drier to save energy.
1,Design better cleaning cycles to reduce soap usage and discharge.
1,Use quieter shock absorbers inside washing machine.
1,Mimic the water dispense system off of how the passages in and mounds are.
1,Use solar power to heat up water.
1,Implementation of touch screen and automatic load sensing is a must in order to determine water levels needed automatically. Also the machine has a no-water-wash option.
1,Use organic plastic substitutes for plastic.
1,"Reuse water from first cycle to wash other clothes that do not require ""delicate"" treatment."
1,Have a washing machine that you add a bunch of soap once a month or every few months and then it automatically dispenses necessary amount of soap each time you start a new cycle.
1,Have a combo of dishwasher and clothes washing machine.
1,Disassemble machine and look for parts that can be removed or simplified.
0,Use runoff water from roof for the wash.
1,Reduce the size of the machine so it can fit in compact space.
1,"As minimalist design is appealing to customers, determine the top few parameters that most significantly affect wash cycle efficacy, and then create customization within those."
1,Design an electronic data log to record the product's usage information for reusability assessment and problem diagnosis in order to facilitate repair.
0,"The machine will use sensors to detect how heavy the load is, or even soil levels, and develop an algorithm to autonomously decide the optimal water levels, spin speeds, and wash time for higher efficiency."
1,Filter water through a dense block of those dirt absorbent beads in order to reuse some portion of used water at some stage of the next wash to save water.
1,Reuse the water if the previous load of laundry is not very dirty.
0,Add a flywheel to the machine to keep it spinning.
1,A vibration sensor to reduce drum speed to minimize vibrations and noise pollution.
1,A machine that operates on a cable/pulley system using a counterweight that moves continuously in cyclic patterns to do the spinning and wringing out the water of the clothes.
1,"If the machine has more than one washing cycle, the first one does not centrifugate or spin-dry the load for too much time."
1,"Attach a small washing chamber on the underside of a car/other transport vehicle. The natural vibrations of the vehicle will be the ""gyration"" that scrubs the soap into the clothes"
0,Sell and install the washing machine with a rainwater retention basin.
1,Use application of internet of things.
1,"The drum can also have two taps/sockets, one on each side, to fill and remove water easily, instead of lifting the big cans with water."
1,"Add a complimentary clothes line and clothes pins, and encourage air drying."
1,Improve the electrical circuits such that they are modularized and easy to manufacture assemble and reassemble.
1,A small attachment that can be affixed to a shower wall that uses some of the falling water that is not used to clean the individual that would otherwise be wasted. An individual can wash their clothes from the day in each shower they take.
1,Enhance spinning to eliminate the need for a separate dryer unit.
1,A drum can be used with pedals attached. It can be mounted and used as a stationary bicycle to wash clothes inside it. It can have a diagonal fin to agitate clothes.
1,Optimize water usage ratio between rinse and wash cycles to decrease overall water consumption.
1,Have an almost manual washing machine where the consumer must become super aware of the amount of water and time it takes to wash clothes.
0,"Collect rain water, use natural filtering to make it clean and use it for washing cloth."
1,Use rechargeable batteries to power the washing machine.
0,"Create ""smart bacteria"" that can be used instead of detergent to break down dirt particles and wash clothes without the use of detergent."
1,Poly lactic acid (PLA) made from corn could be used to make exterior panels of the machine.
1,Increase reliability by removing features that just add more buttons and potential problems.
1,Use the humidity from the dryers in the HVAC system.
1,Have a workout equipment that washes clothes.
1,"Fully incorporate soaps, detergents, softeners, and chemical cleaners into machines to create a smoother customer experience and prevent over use by consumers."
1,"Make the machine easy to move with additional wheels, and it might help with cleaning the area."
0,Look into a reduced vibration design. Maybe it does not even have to spin. Perhaps a giant pressure washer type design would also work and may even be more efficient.
1,Educate users to help user to divide up washer load more effectively.
1,Have an efficient use of water.
1,Construct the external shell of the washing machine with recycled plastics/repurposed wood planks. This way the machine looks novel and in the case of the plastics. It can be made to look transparent and expose the inner workings of the washing machine.
1,The washing machine can record the electricity consumption pattern of the users and then suggest optimal time regarding to electricity price brackets for use of the machine.
1,Manufacture the combined bottom panel and side panels of the washing machine so that it will reduce time and effort while manufacturing.
1,Remove the window.
1,The changing color of the whole machine that indicates whether the washing is done or not.
1,"For customers who care about carbon footprint, provide a periodical analysis of the energy and water efficiency of the washer."
1,"Improve the assembly line, and have automated assembly process."
1,Design more efficient motors that consume less power.
1,"For the exterior, use wood or other sustainably sourced materials to decrease total impact of the product."
1,Make the machine of smaller size so it could fit into closet or kitchen. It could also appeal to people living in small apartments or small families.
1,Make the motor and other components sit more central so that a concrete counter-balance isn't needed.
0,"Remove dirt, organic stains and filter them into sustainable or bio-degradable locations for composting of manure generation."
1,Have transparent exterior to allow users to watch as it functions.
0,It could use gray water somehow to save water in drought prominent areas.
1,Have multiple detergents (like special stain remover) installed.
1,Make washing machines out of recycled plastic.
1,Use lighter but strong material for the spinner so that motor doesn't have to work as hard to spin. Thus it saves energy.
1,Make it play CCR to mask the sound of the machine so that people enjoy using it and do not become annoyed with the noise.
1,Have mobile access to the machine and automatically turn it off.
0,Use power conveyor belt with employees on bicycles.
1,Disperse the detergent through the walls or into the water supply so it is spread evenly and not just concentrated in one area.
1,Each office has efficient washer/dryer that employees use so that each employee doesn't have to buy a very expensive one.
1,Elevate and slant the drum more to allow water to drain better.
1,Improve energy efficiency from smart rotation regime setting based on load and dirt.
1,"Passive damping mechanism could be used to replace the expensive gas springs. For example, tension network structures (""tensegrity"" systems), have tunable stiffness and damping which are only controlled by the number and orientation of cables. These structures are cheaper than gas springs, since seals and bearings are not required."
1,"Come up with efficient energy conversion from electricity to mechanical movement (i.e., spinning)."
1,"Incorporate drying mechanism inside the washer itself, so that when the clothes are dried and the water vapor exits the wash chamber, the water vapor can be re-captured and re-used in subsequent wash cycles."
1,Use magnetic induction based heating and washing (sonic vibration).
1,"Use alternative energy source, such as connect to wind turbine to leverage rotational kinetic energy as opposed to electric energy."
1,Ultrasonic wave can be applied inside the drum to detach dirt from the laundry and use less detergent and less tumbling energy.
1,Use rfid tags that specify wash requirements to simplify the process of washing various types of fabrics.
1,Use freeze cleaning.
1,The washing machine can act as a storage for clothes and will wash whenever the cloth is dirty or smelly.
1,"Since some bulky clothes or blankets need more rinsing, make some more options for the users to set the rinsing cycle to be twice as long."
1,Make it possible for the user to specify how dirty the clothes are in a scale of 1 to 10 and the washing machine can adjust the amount of detergents to use.
1,Add sound absorbing liner to reduce cycle noise.
1,Analyze relationship between spin acceleration rate and energy consumption to optimize the use of electricity at the beginning of spin stage.
1,"An internet connected washer with access to energy price data, allowing it to schedule washing tasks when electricity is cheapest."
1,Create a product which can be easily upgradable or repairable to reduce new purchases.
1,"Use steam cleaning, so that the clothes can be hanged inside the machine and be ironed and cleaned at the same time."
1,Have a washing machine that has LED readouts and membrane switch buttons instead of the more traditional nobs or dials and tactile buttons.
1,Use new material to make clothes that need less cleaning.
1,Paint the washing machines in different colors to coordinate with people's home decoration.
1,Machine has learning abilities and automatically sets the time and type of wash cycles based on user wash history.
0,"Incorporate a heat exchanger inside the washing machine to re-capture the heat that's lost to the environment due to machine operation, and use that energy to power the washing machine later (for example, add a rechargeable battery). The heat that could be captured could be from the motor mechanism, or from the hot water that exits the appliance after a hot-water wash cycle."
1,Have an old fashioned hand crank if people want to power their washing machine that way.
1,"Bring buttons back: let users save their favorite washing cycles in several buttons, maybe from 1 to 5, like slots."
1,"Use mechanical agitation in the absence of water to remove larger particles from the clothing, and only use water in later cycles to remove small dirt particles, thus reducing water usage."
1,"A washing machine that is taller and thinner than normal, to avoid having such a larger footprint, but capable of the same capacity."
1,Install and attach the machine to the floor so that the weight of the concrete and therefore the weight of the machine can be reduced to reduce the transportation cost and impact.
0,Have service model for centralized laundry. It creates jobs and scale to improve quality and efficiency
1,Provide a way that users can monitor the amount of overall power consumed by the washing machine during each cycle and track this use over time.
1,Create odor and stain removing sticky tabs that you just need to use in the areas of your clothing that you need to wash.
1,Use natural materials that can be easily renewed.
1,Have white and non-white modes for the machine and allowing usage of only certain detergents for white clothes and non-white saving the environment from use of harmful products.
1,Have a whitening cycle that whitens better without bleach.
1,Allow customers to customize color and style for different parts of the machine.
1,Washing drum is made corrosion free for longer life.
0,"To save water, blow out dirt with air and then use less water for cleaning."
1,"Have a door that opens all the way upwards so that it lays on top of the washing machine, to enable easy loading."
1,Use a touchscreen because everyone loves touch screens.
1,Use sensors to control ratio of the amount of water and detergent.
1,Have easy loading and deloading feature.
1,"Display has a ""time remaining"" indicator for the wash cycle."
1,Use unibody style design to reduce parts and increase quality.
1,Use bio-inspired design once again using how ants have scoops on their sides that manage water.
1,Have an efficiency indicator to allow users to see the results of their behavior.
1,Use human powered washers.
0,Optimize washing of loads given the amount of clothes and dirty particles present. Using sensor would help find the minimum amount of water and spin cycles needed to get the job done.
1,Shrink design for smaller load capacity for people who live alone.
1,Re-design the drum with a geometry that keeps clothes more separated from each other and prevents clothing from stacking on top of each other. It might help speed up the cleaning process and reduce water usage.
1,Use water flow as a hybrid power generator.
